id,algorithm,vertices,edges,total_cost,execution_time,operation_count
small_1,Prim,16,78,148,0,424,331
small_1,Kruskal,16,78,148,0,388,570
small_2,Prim,24,174,152,0,070,658
small_2,Kruskal,24,174,152,0,080,1349
small_3,Prim,6,11,203,0,059,64
small_3,Kruskal,6,11,203,0,028,61
small_4,Prim,29,254,196,0,242,977
small_4,Kruskal,29,254,196,0,257,2013
small_5,Prim,23,160,228,0,120,648
small_5,Kruskal,23,160,228,0,159,1311
medium_6,Prim,39,319,226,0,311,1317
medium_6,Kruskal,39,319,226,0,275,3011
medium_7,Prim,249,12499,469,3,431,40145
medium_7,Kruskal,249,12499,469,6,234,165790
medium_8,Prim,176,6265,391,1,090,20490
medium_8,Kruskal,176,6265,391,1,464,77410
medium_9,Prim,46,441,313,0,100,1797
medium_9,Kruskal,46,441,313,0,100,4141
medium_10,Prim,39,319,308,0,068,1277
medium_10,Kruskal,39,319,308,0,066,2951
medium_11,Prim,188,7143,401,1,170,23874
medium_11,Kruskal,188,7143,401,1,598,88969
medium_12,Prim,219,9679,401,1,505,32024
medium_12,Kruskal,219,9679,401,2,060,129891
medium_13,Prim,130,3431,333,0,273,11457
medium_13,Kruskal,130,3431,333,0,701,39351
medium_14,Prim,176,6265,397,0,387,20570
medium_14,Kruskal,176,6265,397,1,717,77653
medium_15,Prim,202,8241,387,0,524,26799
medium_15,Kruskal,202,8241,387,1,670,109919
large_16,Prim,707,50479,950,4,127,161548
large_16,Kruskal,707,50479,950,12,683,770908
large_17,Prim,307,9639,757,0,764,34157
large_17,Kruskal,307,9639,757,2,243,133139
large_18,Prim,699,49348,950,3,094,157038
large_18,Kruskal,699,49348,950,12,823,752728
large_19,Prim,630,40130,934,15,394,127963
large_19,Kruskal,630,40130,934,9,098,611123
large_20,Prim,879,77878,1062,7,017,243590
large_20,Kruskal,879,77878,1062,13,924,1260045
large_21,Prim,626,39625,971,2,093,131143
large_21,Kruskal,626,39625,971,5,106,611593
large_22,Prim,356,12922,768,0,856,43353
large_22,Kruskal,356,12922,768,1,782,174502
large_23,Prim,325,10789,723,0,603,36242
large_23,Kruskal,325,10789,723,1,436,145431
large_24,Prim,742,55575,994,2,706,176308
large_24,Kruskal,742,55575,994,9,157,846701
large_25,Prim,960,92831,1138,5,322,290911
large_25,Kruskal,960,92831,1138,13,814,1503009
xlarge_26,Prim,1685,143392,2141,7,142,452804
xlarge_26,Kruskal,1685,143392,2141,23,200,2468158
xlarge_27,Prim,2109,224185,2452,12,166,711144
xlarge_27,Kruskal,2109,224185,2452,36,089,3860750
xlarge_28,Prim,2029,207565,2380,12,702,655017
xlarge_28,Kruskal,2029,207565,2380,29,659,3578892
